# Dell token-store records (magic 0xAA557887) in 'R 16.BIN'
# format: flash_offset  data_length  first-16-bytes-of-data
0x003B5000       4  010000000400f5008400000000000000
0x003B7000       5  0100000005006f01ab00000000000000
0x003B9000       6  010000000600e901be00000000000000
0x003BB000       7  0100000007006302c800ffffffffffff
0x003BD000       8  010000000800dd02f100ffffffffffff
0x003BF000       9  01000000090057038900ffffffffffff
0x003C1000      10  010000000a00d1039c00ffffffffffff
0x003C3000      11  010000000b004b04a100ffffffffffff
0x003C5000      12  010000000c00c5043700ffffffffffff
0x003C7000      13  010000000d003f05ed00ffffffffffff
0x003C9000      14  010000000e00b905f800ffffffffffff
0x003CB000      15  010000000f0033068e00ffffffffffff
0x003CD000      16  010000001000ad06b500ffffffffffff
0x003CF000      17  0100000011002707cd00ffffffffffff
0x003D1000      18  010000001200a107d800ffffffffffff
0x003D3000      19  0100000013001b087300ffffffffffff
0x003D5000      20  0100000014009508e500ffffffffffff
0x003D7000      21  0100000015000f09ca00ffffffffffff
0x003D9000      22  0100000016008909df00ffffffffffff
0x003DB000      23  010000001700030aa900ffffffffffff
0x003DD000      24  0100000018007d0a7d00ffffffffffff
0x003DF000      25  010000001900f70a0200ffffffffffff
0x003E1000      26  010000001a00710b1000ffffffffffff
0x003E3000      27  010000001b00eb0b3800ffffffffffff
0x003E5000      28  010000001c00650cbb00ffffffffffff
0x003E7000      29  010000001d00df0c3d00ffffffffffff
0x003E9000      30  010000001e00590d2f00ffffffffffff
0x003EB000      31  010000001f00d30d5000000000000000
0x003ED000      32  020000000100000048005c0b061a1b31
