# UEFI authenticated variable store in XM25QH256 (32MB) dump
# store header @ file 0x923048, FV @ 0x923000 (GUID FFF12B8D-...), size 0x6DFB8, 794 records
# offset    state  attrs  GUID                                   name                       dataLen
0x009253C4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0CC0'                                     1
0x0092540C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0CC1'                                     1
0x00925454  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0CC2'                                     1
0x0092549C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0CC3'                                     1
0x009254E4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0CC4'                                     1
0x0092552C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E77'                                     1
0x00925574  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E8D'                                     1
0x009255BC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E8F'                                     1
0x00925604  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E92'                                     1
0x0092564C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EA1'                                     1
0x00925694  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EA2'                                     1
0x009256DC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EAC'                                     1
0x00925724  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EB9'                                     1
0x0092576C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EBD'                                     1
0x009257B4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EC0'                                     1
0x009257FC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0ECC'                                     1
0x00925844  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0ECD'                                     1
0x0092588C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0ECE'                                     1
0x009258D4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0ED6'                                     1
0x0092591C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EDA'                                     1
0x00925964  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0738'                                     1
0x009259AC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0638'                                     2
0x009259F4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0639'                                     2
0x00925A3C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '071B'                                     1
0x00925A84  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06EA'                                     1
0x00925ACC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06D9'                                     1
0x00925B14  0x3f  0x07  65cbd9d9-ab77-4a61-b288-2763405d588a  'DellDevicePresence'                       4
0x00925B7C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '041D'                                     1
0x00925BC4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '041C'                                     1
